# Pilot Number,Ratio
1.000000000000000000e+00,7.421349938235028976e-01
2.000000000000000000e+00,7.917829465691651469e-01
3.000000000000000000e+00,8.260196297557532708e-01
4.000000000000000000e+00,8.464556446030725434e-01
5.000000000000000000e+00,8.492761504502069903e-01
1.000000000000000000e+01,8.850591214545899810e-01
1.500000000000000000e+01,8.974506926929101125e-01
2.000000000000000000e+01,8.980242307148559311e-01
2.500000000000000000e+01,9.041084976834136144e-01
3.000000000000000000e+01,9.093185466317955656e-01
3.500000000000000000e+01,9.066105327130294933e-01
4.000000000000000000e+01,9.147746662505485959e-01
4.500000000000000000e+01,9.112089578590465422e-01
5.000000000000000000e+01,9.116777071870847404e-01
5.500000000000000000e+01,9.070091782522806678e-01
6.000000000000000000e+01,9.108757624549540521e-01
6.500000000000000000e+01,9.131999889892234989e-01
7.000000000000000000e+01,9.171901548483646360e-01
7.500000000000000000e+01,9.150935946117301212e-01
8.000000000000000000e+01,9.130626260633080138e-01
8.500000000000000000e+01,9.205806663998247208e-01
9.000000000000000000e+01,9.138383678863796211e-01
9.500000000000000000e+01,9.173818448984109031e-01
1.000000000000000000e+02,9.119092021836187056e-01
